window,version,magnitude_threshold,threshold_label,event_count,duration_days,rate_per_day,fraction_of_full_M1_to_M3,window_start,window_end
M1_related_sensitivity_broad,m2aware,5.0,M5+,30,41.102434143518515,0.7298837800031055,0.967741935483871,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
M1_related_sensitivity_broad,m2aware,6.0,M6+,4,41.102434143518515,0.0973178373337474,0.5,2025-10-26 08:03:39.240000+00:00,2025-12-07 08:03:39.240000+00:00
full_M1_to_M3,raw,3.0,M3+,401,161.99257881944445,2.4754220404562557,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,raw,4.0,M4+,98,161.99257881944445,0.6049659849494091,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,raw,5.0,M5+,31,161.99257881944445,0.19136679115746616,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,raw,6.0,M6+,8,161.99257881944445,0.04938497836321707,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,m2aware,3.0,M3+,389,161.99257881944445,2.40134457291143,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,m2aware,4.0,M4+,95,161.99257881944445,0.5864466180632028,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,m2aware,5.0,M5+,31,161.99257881944445,0.19136679115746616,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
full_M1_to_M3,m2aware,6.0,M6+,8,161.99257881944445,0.04938497836321707,1.0,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.060000+00:00
middle_primary,raw,3.0,M3+,79,105.70812118055555,0.7473408771031268,0.1970074812967581,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,raw,4.0,M4+,20,105.70812118055555,0.1892002220514245,0.20408163265306123,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,raw,5.0,M5+,5,105.70812118055555,0.047300055512856126,0.16129032258064516,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,raw,6.0,M6+,2,105.70812118055555,0.01892002220514245,0.25,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,m2aware,3.0,M3+,68,105.70812118055555,0.6432807549748433,0.17480719794344474,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,m2aware,4.0,M4+,18,105.70812118055555,0.17028019984628207,0.18947368421052632,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,m2aware,5.0,M5+,5,105.70812118055555,0.047300055512856126,0.16129032258064516,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
middle_primary,m2aware,6.0,M6+,2,105.70812118055555,0.01892002220514245,0.25,2025-11-30 08:03:39.240000+00:00,2026-03-16 07:52:58.060000+00:00
pre_M3_primary,raw,3.0,M3+,52,34.817514930555554,1.4935011905276803,0.12967581047381546,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_primary,raw,4.0,M4+,15,34.817514930555554,0.4308176511137539,0.15306122448979592,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_primary,raw,5.0,M5+,3,34.817514930555554,0.08616353022275078,0.0967741935483871,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_primary,raw,6.0,M6+,2,34.817514930555554,0.05744235348183385,0.25,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_primary,m2aware,3.0,M3+,51,34.817514930555554,1.4647800137867633,0.13110539845758354,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_primary,m2aware,4.0,M4+,14,34.817514930555554,0.40209647437283697,0.14736842105263157,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
