version,magnitude_threshold,threshold_label,n_events,median_gap_days,p90_gap_days,max_gap_days,full_M1_to_M3_max_gap_days,middle_phase_max_gap_days
raw,0.0,all,9109,0.003640509259259259,0.08394048611111117,3.4447877314814814,1.1816392361111112,1.1816392361111112
raw,3.0,M3+,736,0.007856481481481482,0.6006414120370371,30.529459953703704,11.027545833333333,11.027545833333333
raw,4.0,M4+,158,0.031074652777777777,2.930712638888896,26.155095370370372,26.155095370370372,26.155095370370372
raw,5.0,M5+,50,0.10812418981481481,5.095953680555556,66.94559201388888,66.94559201388888,66.94559201388888
m2aware,0.0,all,8821,0.003687152777777778,0.08465682870370371,3.526052546296296,1.1816392361111112,1.1816392361111112
m2aware,3.0,M3+,714,0.007593287037037037,0.6428955324074085,30.529459953703704,11.027545833333333,11.027545833333333
m2aware,4.0,M4+,155,0.029214467592592594,3.6892107291666676,26.155095370370372,26.155095370370372,26.155095370370372
m2aware,5.0,M5+,50,0.10812418981481481,5.095953680555556,66.94559201388888,66.94559201388888,66.94559201388888
