origin_time,latitude,longitude,depth_km,magnitude,event_id,time_since_M1_days,time_before_M3_days,distance_to_M1_km,distance_to_M2_km,distance_to_M3_km,along_axis_km,perpendicular_distance_km,axis_length_km,axis_fraction,nearest_endpoint,in_M1_core_30km,in_M3_core_30km,in_M1_extended_60km,in_M3_extended_60km,in_local_union_60km,in_corridor_20km,in_corridor_30km,off_corridor_local,M2_related_100km,M2_ambiguous_overlap,spatial_category,window__pre_M1_baseline_14d,window__pre_M1_baseline_7d,window__M1_related_primary,window__M1_related_sensitivity_narrow,window__M1_related_sensitivity_broad,window__full_M1_to_M3,window__middle_primary,window__pre_M3_primary,window__pre_M3_sensitivity_42d,window__pre_M3_sensitivity_28d,window__post_M3_7d,window__post_M3_14d
2025-06-02 03:47:03.300000+00:00,39.720239,143.438477,12.69,1.6,evt_000029,-160.17819375,322.17077268518517,35.870798195086024,169.57435725139376,27.601703153141006,33.034086616593775,13.47347605317793,57.16418144737492,0.5778808649084707,M3,False,True,True,True,True,True,True,False,False,False,M3-core,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-02 04:46:16.890000+00:00,39.653345,142.594287,30.03,0.8,evt_000032,-160.13706423611112,322.1296431712963,83.11933534335465,148.47165836326775,52.48321020623217,64.74144246904527,52.01782534898582,57.16418144737492,1.1325526025181685,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-02 05:54:22.330000+00:00,39.65944,142.591178,32.55,1.3,evt_000034,-160.08977905092593,322.0823579861111,83.59688941201021,147.75813576540637,52.45904058248849,65.45499877960634,51.89089356984557,57.16418144737492,1.1450351797631162,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-02 15:28:37.320000+00:00,39.661198,142.59235,29.49,0.9,evt_000053,-159.69099444444444,321.68357337962965,83.56874165065047,147.58292197507004,52.29063204407632,65.56768406817459,51.70330807471054,57.16418144737492,1.1470064366886088,M3,False,False,False,True,True,False,False,True,False,False,off-corridor_local,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-03 14:08:31.260000+00:00,39.832491,142.850586,29.96,2.4,evt_000080,-158.7466201388889,320.73919907407407,73.84208238176001,134.95017833808208,26.183873817389397,70.06307032814013,22.91375117545982,57.16418144737492,1.225646349762567,M3,False,True,False,True,True,False,True,True,False,False,M3-core,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-03 15:58:03.730000+00:00,39.202035,143.452474,13.89,3.1,evt_000081,-158.67054988425926,320.66312881944447,22.72467987902062,219.93490548815336,75.539117418409,-16.364074653846096,15.587484207101701,57.16418144737492,-0.2862644796009331,M1,True,False,True,False,True,True,True,False,False,False,M1-core,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-03 20:50:13.380000+00:00,40.166333,143.246777,6.41,0.9,evt_000088,-158.46766041666666,320.46023935185184,87.85043181513102,120.43496952966342,36.86594422114431,83.64561308682734,25.37979270751748,57.16418144737492,1.4632521794059292,M3,False,False,False,True,True,False,True,True,False,False,off-corridor_local,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-04 01:17:45.750000+00:00,40.286153,142.932926,18.78,1.3,evt_000092,-158.28186909722223,320.2744480324074,109.85198118975158,93.33033195801667,52.94093642991777,109.0504148320426,9.431021736036456,57.16418144737492,1.9076703640449029,M3,False,False,False,True,True,True,True,False,True,True,corridor_noncore,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-04 03:49:05.910000+00:00,39.375146,143.60638,8.97,1.3,evt_000096,-158.17677465277777,320.169353587963,9.047487317356085,209.56057276907833,64.62826748235899,-7.000993754087766,5.693726814485292,57.16418144737492,-0.1224716872843329,M1,True,False,True,False,True,True,True,False,False,False,M1-core,True,True,False,False,False,False,False,False,False,False,False,False
2025-06-04 06:15:35.710000+00:00,39.191459,143.452799,10.93,1.0,evt_000099,-158.07504085648148,320.0676197916667,23.871165409212434,221.0012948427721,76.65782605916353,-17.374010079608823,16.177717228894785,57.16418144737492,-0.303931756559888,M1,True,False,True,False,True,True,True,False,False,False,M1-core,True,True,False,False,False,False,False,False,False,False,False,False
