event_time,latitude,longitude,depth_km,magnitude,event_id,mainshock_label,x_km,y_km,elapsed_minutes_since_mw64
2019-07-04 17:33:49.040000+00:00,35.70421,-117.49392,11.864,6.4,0,Mainshock64,4.47699458938023,-3.994319871951074,0.0
2019-07-06 03:19:53.040000+00:00,35.77623,-117.59286,1.986,7.1,1,Mainshock71,-4.472964528480428,3.9966007025297405,2026.0666666666666
