window_label,event_count,median_nearest_fault_distance_km,centroid_longitude,centroid_latitude
Before Mw 7.1,4716,0.5669409580909776,-117.54395811684432,35.684000538486494
After Mw 7.1 (+2 days),7641,0.6612102549671421,-117.61032695203245,35.80463828415309
