mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,metric,value
M1,30.0,60.0,all,2.5,rate_ratio,4.111111111111112
M1,30.0,60.0,all,2.5,post_omori_p,1.0035838657424858
M1,30.0,60.0,mainshock_window,,n_total,2882.0
M1,30.0,60.0,mainshock_window,,rate_ratio,4.305709023941068
M1,30.0,60.0,mainshock_window,,post_omori_p,0.6604643338043101
M1,30.0,60.0,mainshock_window,1.2,n_total,2769.0
M1,30.0,60.0,mainshock_window,1.2,rate_ratio,4.40625
M1,30.0,60.0,mainshock_window,1.2,post_omori_p,0.6702358640119311
M1,30.0,60.0,mainshock_window,1.5,n_total,2261.0
M1,30.0,60.0,mainshock_window,1.5,rate_ratio,4.76530612244898
M1,30.0,60.0,mainshock_window,1.5,post_omori_p,0.7225814613581448
M1,30.0,60.0,mainshock_window,2.0,n_total,1121.0
M1,30.0,60.0,mainshock_window,2.0,rate_ratio,5.021505376344086
M1,30.0,60.0,mainshock_window,2.0,post_omori_p,0.886481161475677
M1,30.0,60.0,mainshock_window,2.5,n_total,553.0
M1,30.0,60.0,mainshock_window,2.5,rate_ratio,4.111111111111112
M1,30.0,60.0,mainshock_window,2.5,post_omori_p,1.0035838657424858
M1,30.0,60.0,stratified,,n_total,2877.0
M1,30.0,60.0,stratified,,rate_ratio,4.296500920810312
M1,30.0,60.0,stratified,,post_omori_p,0.6602128046373527
M1,30.0,60.0,stratified,1.2,n_total,2764.0
M1,30.0,60.0,stratified,1.2,rate_ratio,4.396484375
M1,30.0,60.0,stratified,1.2,post_omori_p,0.6699957797454514
M1,30.0,60.0,stratified,1.5,n_total,2257.0
M1,30.0,60.0,stratified,1.5,rate_ratio,4.755102040816326
M1,30.0,60.0,stratified,1.5,post_omori_p,0.7222298010348742
M1,30.0,60.0,stratified,2.0,n_total,1119.0
M1,30.0,60.0,stratified,2.0,rate_ratio,5.010752688172043
M1,30.0,60.0,stratified,2.0,post_omori_p,0.8859031208633504
M1,30.0,60.0,stratified,2.5,n_total,553.0
M1,30.0,60.0,stratified,2.5,rate_ratio,4.111111111111112
M1,30.0,60.0,stratified,2.5,post_omori_p,1.0035838657424858
M1,30.0,90.0,all,,n_total,3060.0
M1,30.0,90.0,all,,rate_ratio,4.443060498220641
M1,30.0,90.0,all,,post_omori_p,0.6909388674323492
M1,30.0,90.0,all,1.2,n_total,2935.0
M1,30.0,90.0,all,1.2,rate_ratio,4.556818181818183
M1,30.0,90.0,all,1.2,post_omori_p,0.700128791568374
M1,30.0,90.0,all,1.5,n_total,2382.0
M1,30.0,90.0,all,1.5,rate_ratio,4.952500000000001
M1,30.0,90.0,all,1.5,post_omori_p,0.7501667797695244
M1,30.0,90.0,all,2.0,n_total,1166.0
M1,30.0,90.0,all,2.0,rate_ratio,5.196808510638298
M1,30.0,90.0,all,2.0,post_omori_p,0.902029067370246
M1,30.0,90.0,all,2.5,n_total,566.0
M1,30.0,90.0,all,2.5,rate_ratio,4.231481481481482
M1,30.0,90.0,all,2.5,post_omori_p,1.0144073929088848
M1,30.0,90.0,mainshock_window,,n_total,3057.0
M1,30.0,90.0,mainshock_window,,rate_ratio,4.457142857142857
M1,30.0,90.0,mainshock_window,,post_omori_p,0.6911460336892028
M1,30.0,90.0,mainshock_window,1.2,n_total,2933.0
M1,30.0,90.0,mainshock_window,1.2,rate_ratio,4.574144486692016
M1,30.0,90.0,mainshock_window,1.2,post_omori_p,0.700128791568374
M1,30.0,90.0,mainshock_window,1.5,n_total,2381.0
M1,30.0,90.0,mainshock_window,1.5,rate_ratio,4.964912280701754
M1,30.0,90.0,mainshock_window,1.5,post_omori_p,0.7501667797695244
M1,30.0,90.0,mainshock_window,2.0,n_total,1166.0
M1,30.0,90.0,mainshock_window,2.0,rate_ratio,5.196808510638298
M1,30.0,90.0,mainshock_window,2.0,post_omori_p,0.902029067370246
M1,30.0,90.0,mainshock_window,2.5,n_total,566.0
M1,30.0,90.0,mainshock_window,2.5,rate_ratio,4.231481481481482
M1,30.0,90.0,mainshock_window,2.5,post_omori_p,1.0144073929088848
M1,30.0,90.0,stratified,,n_total,3052.0
M1,30.0,90.0,stratified,,rate_ratio,4.448214285714285
M1,30.0,90.0,stratified,,post_omori_p,0.6909067911940292
M1,30.0,90.0,stratified,1.2,n_total,2928.0
M1,30.0,90.0,stratified,1.2,rate_ratio,4.564638783269962
M1,30.0,90.0,stratified,1.2,post_omori_p,0.6998971737934533
M1,30.0,90.0,stratified,1.5,n_total,2377.0
M1,30.0,90.0,stratified,1.5,rate_ratio,4.954887218045112
M1,30.0,90.0,stratified,1.5,post_omori_p,0.7498589773345948
M1,30.0,90.0,stratified,2.0,n_total,1164.0
M1,30.0,90.0,stratified,2.0,rate_ratio,5.1861702127659575
M1,30.0,90.0,stratified,2.0,post_omori_p,0.9015133335497424
M1,30.0,90.0,stratified,2.5,n_total,566.0
M1,30.0,90.0,stratified,2.5,rate_ratio,4.231481481481482
M1,30.0,90.0,stratified,2.5,post_omori_p,1.0144073929088848
M1,44.0,7.0,all,,n_total,2233.0
M1,44.0,7.0,all,,rate_ratio,3.3850687622789786
M1,44.0,7.0,all,,post_omori_p,
M1,44.0,7.0,all,1.2,n_total,2161.0
M1,44.0,7.0,all,1.2,rate_ratio,3.490644490644491
M1,44.0,7.0,all,1.2,post_omori_p,
M1,44.0,7.0,all,1.5,n_total,1844.0
M1,44.0,7.0,all,1.5,rate_ratio,3.941018766756032
M1,44.0,7.0,all,1.5,post_omori_p,
M1,44.0,7.0,all,2.0,n_total,991.0
M1,44.0,7.0,all,2.0,rate_ratio,4.6571428571428575
M1,44.0,7.0,all,2.0,post_omori_p,
M1,44.0,7.0,all,2.5,n_total,505.0
M1,44.0,7.0,all,2.5,rate_ratio,4.090909090909091
M1,44.0,7.0,all,2.5,post_omori_p,
M1,44.0,7.0,mainshock_window,,n_total,2233.0
M1,44.0,7.0,mainshock_window,,rate_ratio,3.3850687622789786
M1,44.0,7.0,mainshock_window,,post_omori_p,
M1,44.0,7.0,mainshock_window,1.2,n_total,2161.0
M1,44.0,7.0,mainshock_window,1.2,rate_ratio,3.490644490644491
M1,44.0,7.0,mainshock_window,1.2,post_omori_p,
M1,44.0,7.0,mainshock_window,1.5,n_total,1844.0
M1,44.0,7.0,mainshock_window,1.5,rate_ratio,3.941018766756032
M1,44.0,7.0,mainshock_window,1.5,post_omori_p,
M1,44.0,7.0,mainshock_window,2.0,n_total,991.0
M1,44.0,7.0,mainshock_window,2.0,rate_ratio,4.6571428571428575
M1,44.0,7.0,mainshock_window,2.0,post_omori_p,
M1,44.0,7.0,mainshock_window,2.5,n_total,505.0
M1,44.0,7.0,mainshock_window,2.5,rate_ratio,4.090909090909091
M1,44.0,7.0,mainshock_window,2.5,post_omori_p,
M1,44.0,7.0,stratified,,n_total,2230.0
M1,44.0,7.0,stratified,,rate_ratio,3.37917485265226
M1,44.0,7.0,stratified,,post_omori_p,
M1,44.0,7.0,stratified,1.2,n_total,2158.0
M1,44.0,7.0,stratified,1.2,rate_ratio,3.4844074844074844
M1,44.0,7.0,stratified,1.2,post_omori_p,
M1,44.0,7.0,stratified,1.5,n_total,1841.0
M1,44.0,7.0,stratified,1.5,rate_ratio,3.932975871313673
M1,44.0,7.0,stratified,1.5,post_omori_p,
M1,44.0,7.0,stratified,2.0,n_total,989.0
M1,44.0,7.0,stratified,2.0,rate_ratio,4.645714285714286
M1,44.0,7.0,stratified,2.0,post_omori_p,
M1,44.0,7.0,stratified,2.5,n_total,505.0
M1,44.0,7.0,stratified,2.5,rate_ratio,4.090909090909091
M1,44.0,7.0,stratified,2.5,post_omori_p,
M1,44.0,30.0,all,,n_total,3156.0
M1,44.0,30.0,all,,rate_ratio,4.842592592592593
M1,44.0,30.0,all,,post_omori_p,0.5527774596276611
M1,44.0,30.0,all,1.2,n_total,3034.0
M1,44.0,30.0,all,1.2,rate_ratio,4.947058823529411
M1,44.0,30.0,all,1.2,post_omori_p,0.5637167183010661
M1,44.0,30.0,all,1.5,n_total,2478.0
M1,44.0,30.0,all,1.5,rate_ratio,5.302798982188295
M1,44.0,30.0,all,1.5,post_omori_p,0.6222250489426768
M1,44.0,30.0,all,2.0,n_total,1232.0
M1,44.0,30.0,all,2.0,rate_ratio,5.654054054054054
M1,44.0,30.0,all,2.0,post_omori_p,0.79996670307667
M1,44.0,30.0,all,2.5,n_total,603.0
M1,44.0,30.0,all,2.5,rate_ratio,4.788461538461538
M1,44.0,30.0,all,2.5,post_omori_p,0.9371683554401729
M1,44.0,30.0,mainshock_window,,n_total,3156.0
M1,44.0,30.0,mainshock_window,,rate_ratio,4.842592592592593
M1,44.0,30.0,mainshock_window,,post_omori_p,0.5527774596276611
M1,44.0,30.0,mainshock_window,1.2,n_total,3034.0
M1,44.0,30.0,mainshock_window,1.2,rate_ratio,4.947058823529411
M1,44.0,30.0,mainshock_window,1.2,post_omori_p,0.5637167183010661
M1,44.0,30.0,mainshock_window,1.5,n_total,2478.0
M1,44.0,30.0,mainshock_window,1.5,rate_ratio,5.302798982188295
M1,44.0,30.0,mainshock_window,1.5,post_omori_p,0.6222250489426768
M1,44.0,30.0,mainshock_window,2.0,n_total,1232.0
M1,44.0,30.0,mainshock_window,2.0,rate_ratio,5.654054054054054
M1,44.0,30.0,mainshock_window,2.0,post_omori_p,0.79996670307667
M1,44.0,30.0,mainshock_window,2.5,n_total,603.0
M1,44.0,30.0,mainshock_window,2.5,rate_ratio,4.788461538461538
M1,44.0,30.0,mainshock_window,2.5,post_omori_p,0.9371683554401729
M1,44.0,30.0,stratified,,n_total,3151.0
M1,44.0,30.0,stratified,,rate_ratio,4.833333333333333
M1,44.0,30.0,stratified,,post_omori_p,0.5527624341990771
M1,44.0,30.0,stratified,1.2,n_total,3029.0
M1,44.0,30.0,stratified,1.2,rate_ratio,4.9372549019607845
M1,44.0,30.0,stratified,1.2,post_omori_p,0.5637190339779432
M1,44.0,30.0,stratified,1.5,n_total,2474.0
M1,44.0,30.0,stratified,1.5,rate_ratio,5.2926208651399484
M1,44.0,30.0,stratified,1.5,post_omori_p,0.6220857281894149
M1,44.0,30.0,stratified,2.0,n_total,1230.0
M1,44.0,30.0,stratified,2.0,rate_ratio,5.643243243243242
M1,44.0,30.0,stratified,2.0,post_omori_p,0.7995357319774887
M1,44.0,30.0,stratified,2.5,n_total,603.0
M1,44.0,30.0,stratified,2.5,rate_ratio,4.788461538461538
M1,44.0,30.0,stratified,2.5,post_omori_p,0.9371683554401729
M1,44.0,60.0,all,,n_total,3544.0
M1,44.0,60.0,all,,rate_ratio,5.259717314487633
M1,44.0,60.0,all,,post_omori_p,0.6131688210497458
M1,44.0,60.0,all,1.2,n_total,3388.0
M1,44.0,60.0,all,1.2,rate_ratio,5.366541353383458
M1,44.0,60.0,all,1.2,post_omori_p,0.6254928642231095
M1,44.0,60.0,all,1.5,n_total,2731.0
M1,44.0,60.0,all,1.5,rate_ratio,5.7407407407407405
M1,44.0,60.0,all,1.5,post_omori_p,0.6816750237783888
M1,44.0,60.0,all,2.0,n_total,1323.0
M1,44.0,60.0,all,2.0,rate_ratio,5.921465968586388
M1,44.0,60.0,all,2.0,post_omori_p,0.8461358952853218
M1,44.0,60.0,all,2.5,n_total,644.0
M1,44.0,60.0,all,2.5,rate_ratio,4.845454545454546
M1,44.0,60.0,all,2.5,post_omori_p,0.961146296102104
M1,44.0,60.0,mainshock_window,,n_total,3544.0
M1,44.0,60.0,mainshock_window,,rate_ratio,5.259717314487633
M1,44.0,60.0,mainshock_window,,post_omori_p,0.6131688210497458
M1,44.0,60.0,mainshock_window,1.2,n_total,3388.0
M1,44.0,60.0,mainshock_window,1.2,rate_ratio,5.366541353383458
M1,44.0,60.0,mainshock_window,1.2,post_omori_p,0.6254928642231095
M1,44.0,60.0,mainshock_window,1.5,n_total,2731.0
M1,44.0,60.0,mainshock_window,1.5,rate_ratio,5.7407407407407405
M1,44.0,60.0,mainshock_window,1.5,post_omori_p,0.6816750237783888
M1,44.0,60.0,mainshock_window,2.0,n_total,1323.0
M1,44.0,60.0,mainshock_window,2.0,rate_ratio,5.921465968586388
M1,44.0,60.0,mainshock_window,2.0,post_omori_p,0.8461358952853218
M1,44.0,60.0,mainshock_window,2.5,n_total,644.0
M1,44.0,60.0,mainshock_window,2.5,rate_ratio,4.845454545454546
M1,44.0,60.0,mainshock_window,2.5,post_omori_p,0.961146296102104
M1,44.0,60.0,stratified,,n_total,3539.0
M1,44.0,60.0,stratified,,rate_ratio,5.250883392226148
M1,44.0,60.0,stratified,,post_omori_p,0.6129322680584737
M1,44.0,60.0,stratified,1.2,n_total,3383.0
M1,44.0,60.0,stratified,1.2,rate_ratio,5.357142857142857
M1,44.0,60.0,stratified,1.2,post_omori_p,0.6252670530500625
